DEBUG:root:ISN:   1 IP:  11 OD_SHP: 120 PRA_SHP: 999 els below OD_SHP: 0, els over PRA_SHP: 0 	jmp 24  (':swap_second_third'@1:1)
DEBUG:root:ISN:   1 IP:  35 OD_SHP: 120 PRA_SHP: 999 els below OD_SHP: 0, els over PRA_SHP: 0 	jmp 12  (':clear_stack'@6:1)
DEBUG:root:ISN:   1 IP:  47 OD_SHP: 120 PRA_SHP: 999 els below OD_SHP: 0, els over PRA_SHP: 0 	jmp 8  (':transfer_await'@13:1)
DEBUG:root:ISN:   1 IP:  55 OD_SHP: 120 PRA_SHP: 999 els below OD_SHP: 0, els over PRA_SHP: 0 	jmp 20  (':print_string'@19:1)
DEBUG:root:ISN:   1 IP:  75 OD_SHP: 120 PRA_SHP: 999 els below OD_SHP: 0, els over PRA_SHP: 0 	jmp 40  (':cat'@29:1)
DEBUG:root:ISN:   1 IP: 115 OD_SHP: 120 PRA_SHP: 999 els below OD_SHP: 0, els over PRA_SHP: 0 	push inc inc ip to pra shp  ('cat'@51:1)
DEBUG:root:ISN:   1 IP: 116 OD_SHP: 120 PRA_SHP: 998 els below OD_SHP: 0, els over PRA_SHP: 117 0 	jmp -40  ('cat'@51:1)
DEBUG:root:ISN:   1 IP:  76 OD_SHP: 120 PRA_SHP: 998 els below OD_SHP: 0, els over PRA_SHP: 117 0 	number -1  ('-1'@30:2)
DEBUG:root:ISN:   1 IP:  77 OD_SHP: 121 PRA_SHP: 998 els below OD_SHP: 0 -1, els over PRA_SHP: 117 0 	number 1  ('1'@32:2)
DEBUG:root:ISN:   1 IP:  78 OD_SHP: 122 PRA_SHP: 998 els below OD_SHP: 0 -1 1, els over PRA_SHP: 117 0 	sum  ('+'@32:3)
DEBUG:root:ISN:   1 IP:  79 OD_SHP: 121 PRA_SHP: 998 els below OD_SHP: 0 0, els over PRA_SHP: 117 0 	has port wrote 0  ('wrote'@34:2)
DEBUG:root:ISN:   1 IP:  80 OD_SHP: 122 PRA_SHP: 998 els below OD_SHP: 0 0 -1, els over PRA_SHP: 117 0 	number 0  ('0'@35:2)
DEBUG:root:ISN:   1 IP:  81 OD_SHP: 123 PRA_SHP: 998 els below OD_SHP: 0 0 -1 0, els over PRA_SHP: 117 0 	not eq  ('<>'@35:3)
DEBUG:root:ISN:   1 IP:  82 OD_SHP: 122 PRA_SHP: 998 els below OD_SHP: 0 0 0, els over PRA_SHP: 117 0 	number 0  ('until'@35:4)
DEBUG:root:ISN:   1 IP:  83 OD_SHP: 123 PRA_SHP: 998 els below OD_SHP: 0 0 0 0, els over PRA_SHP: 117 0 	not eq  ('until'@35:4)
DEBUG:root:ISN:   1 IP:  84 OD_SHP: 122 PRA_SHP: 998 els below OD_SHP: 0 0 -1, els over PRA_SHP: 117 0 	exec cond jmp -6  ('until'@35:4)
DEBUG:root:ISN:   1 IP:  79 OD_SHP: 121 PRA_SHP: 998 els below OD_SHP: 0 0, els over PRA_SHP: 117 0 	has port wrote 0  ('wrote'@34:2)
DEBUG:root:ISN:   1 IP:  80 OD_SHP: 122 PRA_SHP: 998 els below OD_SHP: 0 0 -1, els over PRA_SHP: 117 0 	number 0  ('0'@35:2)
DEBUG:root:ISN:   1 IP:  81 OD_SHP: 123 PRA_SHP: 998 els below OD_SHP: 0 0 -1 0, els over PRA_SHP: 117 0 	not eq  ('<>'@35:3)
DEBUG:root:ISN:   1 IP:  82 OD_SHP: 122 PRA_SHP: 998 els below OD_SHP: 0 0 0, els over PRA_SHP: 117 0 	number 0  ('until'@35:4)
DEBUG:root:ISN:   1 IP:  83 OD_SHP: 123 PRA_SHP: 998 els below OD_SHP: 0 0 0 0, els over PRA_SHP: 117 0 	not eq  ('until'@35:4)
DEBUG:root:ISN:   1 IP:  84 OD_SHP: 122 PRA_SHP: 998 els below OD_SHP: 0 0 -1, els over PRA_SHP: 117 0 	exec cond jmp -6  ('until'@35:4)
DEBUG:root:ISN:   1 IP:  79 OD_SHP: 121 PRA_SHP: 998 els below OD_SHP: 0 0, els over PRA_SHP: 117 0 	has port wrote 0  ('wrote'@34:2)
DEBUG:root:ISN:   1 IP:  80 OD_SHP: 122 PRA_SHP: 998 els below OD_SHP: 0 0 -1, els over PRA_SHP: 117 0 	number 0  ('0'@35:2)
DEBUG:root:ISN:   1 IP:  81 OD_SHP: 123 PRA_SHP: 998 els below OD_SHP: 0 0 -1 0, els over PRA_SHP: 117 0 	not eq  ('<>'@35:3)
DEBUG:root:ISN:   1 IP:  82 OD_SHP: 122 PRA_SHP: 998 els below OD_SHP: 0 0 0, els over PRA_SHP: 117 0 	number 0  ('until'@35:4)
DEBUG:root:ISN:   1 IP:  83 OD_SHP: 123 PRA_SHP: 998 els below OD_SHP: 0 0 0 0, els over PRA_SHP: 117 0 	not eq  ('until'@35:4)
DEBUG:root:ISN:   1 IP:  84 OD_SHP: 122 PRA_SHP: 998 els below OD_SHP: 0 0 -1, els over PRA_SHP: 117 0 	exec cond jmp -6  ('until'@35:4)
DEBUG:root:ISN:   1 IP:  79 OD_SHP: 121 PRA_SHP: 998 els below OD_SHP: 0 0, els over PRA_SHP: 117 0 	has port wrote 0  ('wrote'@34:2)
DEBUG:root:ISN:   1 IP:  80 OD_SHP: 122 PRA_SHP: 998 els below OD_SHP: 0 0 -1, els over PRA_SHP: 117 0 	number 0  ('0'@35:2)
